"data","tipo_refeicao","Quarta-Feira 29/10/2025","Quinta-Feira 30/10/2025","Sexta-Feira 31/10/2025"
"2025-10-29_16:28:58.378708","Café da manhã","Pão de hot-dog ou integral com presunto 
Pão de hot-dog ou integral com patê de grão-de-bico com beterraba 
Melão","Pão de milho ou integral com queijo 
Opção vegana: pão de milho ou integral com pasta de amendoim 
Banana","Pão hot-dog ou integral com manteiga 
Opção vegana: pão hot-dog ou integral com patê de cenoura 
Melancia"
"2025-10-29_16:28:58.378708","Almoço","Fricassê de frango 
Opção vegana: charuto de feijão fradinho ao sugo 
Bolinho de arroz 
Saladas de folhosa  e legumes 
Molho para salada: molho rosê 
Mamão","Copa lombo ao molho roty 
2ª opção: omelete de forno 
Opção vegana: PTS refogada com espinafre 
Aipim temperado  
Saladas de folhosa  e cenoura cozida 
Molho para salada: vinagrete 
Salada de frutas","Goulash 
Opção vegana: goulash de ervilha seca 
Abobrinha refogada 
Saladas de folhosa e pepino 
Molho para salada: vinagrete 
Surpresa de banana"
"2025-10-29_16:28:58.378708","Jantar","Bife acebolado 
Opção vegana: moussaka de quinoa 
Sopa de feijão com macarrão 
Saladas de folhosa  e pepino 
Molho para salada: vinagrete","Iscas bovinas com legumes 
Opção vegana: ervilha com legumes 
Sopa de lentilha 
Saladas de folhosa  e beterraba cozida 
Molho para salada: molho de mostarda","Empadão de frango 
Opção vegana: empadão de feijão fradinho com legumes 
Sopa de carne à florentina 
Saladas de folhosa e tomate 
Molho para salada: vinagrete"
