"data","tipo_refeicao","Quarta-Feira 05/11/2025","Quinta-Feira 06/11/2025","Sexta-Feira 07/11/2025"
"2025-11-05_04:23:55.791058","Café da manhã","Pão de milho ou integral com queijo 
Opção vegana: pão de milho ou integral com patê de ervas 
Laranja","Pão hot-dog ou integral com patê de frango 
Opção vegana: pão hot-dog ou integral com patê de azeitona 
Salada de frutas","Pão francês ou integral com manteiga 
Opção vegana: pão francês ou integral com hommus 
Abacaxi"
"2025-11-05_04:23:55.791058","Almoço","Poulet mwamba (frango)
Opção vegana: feijão cavalo refogado com pimentão e amendoim 
Fufu 
Saladas de folhosa  e pepino 
Molho para saladas: vinagrete 
Mamão","Griot (cubos suínos) 
2ª opção: omelete de forno 
Opção vegana: bolinho de feijão fradinho 
Banana assada 
Saladas de folhosa  e cenoura ralada 
Molho para saladas: molho tártaro","Filé de frango ao molho de mostarda 
Opção vegana: panqueca de ervilha com cenoura 
Batata sautée 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete 
Creme de chocolate"
"2025-11-05_04:23:55.791058","Jantar","Bife à romanesca 
Opção vegana: grão-de-bico com curry 
Sopa de legumes com frango 
Saladas de folhosa  e berinjela 
Molho para saladas: molho de mostarda","Filé de frango grelhado 
Opção vegana: charuto de repolho com ervilha 
Sopa Joumou 
Saladas de folhosa  e chuchu 
Molho para saladas: vinagrete","Carne moída com molho 
Opção vegana: PTS ao sugo 
Sopa de abóbora com aipim 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete"
