"data","tipo_refeicao","Sexta-Feira 07/11/2025","Segunda-Feira 10/11/2025","Terça-Feira 11/11/2025"
"2025-11-07_20:18:24.174236","Café da manhã","Pão francês ou integral com manteiga 
Opção vegana: pão francês ou integral com hommus 
Abacaxi","Pão hot-dog ou integral com queijo 
Opção vegana: pão hot-dog ou integral com patê de cenoura 
Maçã","Pão francês ou integral com ovos mexidos 
Opção vegana: pão francês ou integral com homus 
Mamão"
"2025-11-07_20:18:24.174236","Almoço","Filé de frango ao molho de mostarda 
Opção vegana: panqueca de ervilha com cenoura 
Batata sautée 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete 
Creme de chocolate","Bife acebolado 
Opção vegana: lentilha ao sugo 
Virado de couve 
Saladas de folhosa  e cenoura ralada 
Molho para saladas: molho mostarda 
Laranja","Frango ao molho de laranja 
Opção vegana: batata recheada com feijão 
Ratatouille 
Saladas de folhosa  e chuchu com tempero verde 
Molho para saladas: vinagrete 
Pudim romeu e julieta"
"2025-11-07_20:18:24.174236","Jantar","Carne moída com molho 
Opção vegana: PTS ao sugo 
Sopa de abóbora com aipim 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete","Frango assado 
Opção vegana: berinjela à rolê com pasta de feijão branco 
Creme de milho 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete","Picadinho à jardineira 
Opção vegana: abobrinha recheada com creme de ervilha 
Sopa de legumes com macarrão 
Saladas de folhosa  e cenoura com vagem 
Molho para saladas: vinagrete"
