"data","tipo_refeicao","Segunda-Feira 13/10/2025","Terça-Feira 14/10/2025","Quarta-Feira 15/10/2025"
"2025-10-13_14:20:01.099901","Café da manhã","Pão de hot-dog com ovo mexido 
Opção vegana: pão integral com patê de azeitona 
Maçã","Pão hot-dog patê de queijo 
Opção vegana: pão integral com patê de cenoura 
Mamão","Pão de milho com presunto
Opção vegana: pão integral com patê de grão-de-bico e beterraba
Melão"
"2025-10-13_14:20:01.099901","Almoço","Bife acebolado 
Opção vegana: lentilha refogada 
Quibebe 
Saladas de folhosa  e beterraba ralada  
Molho para salada: molho de mostarda 
Tangerina","Carne moída com molho 
Opção vegana: croquete de feijão fradinho 
Creme de milho 
Saladas de folhosa  e abobrinha cozida 
Molho para salada: vinagrete 
Banana","Bisteca ao molho roty 
2ª opção: omelete de forno 
Opção vegana: charuto de grão-de-bico 
Legumes quentes 
Saladas de folhosa e tomate 
Molho para salada: vinagrete 
Pudim de chocolate com bolacha"
"2025-10-13_14:20:01.099901","Jantar","Carne moída ao molho 
Opção vegana: PTS com couve 
Canja 
Saladas de folhosa  e tabule  
Molho para salada: vinagrete","Bisteca suína ao molho roty  
2ª opção: ovos mexidos à provençal 
Opção vegana: grão-de-bico ao molho mostarda 
Sopa de legumes com carne e arroz 
Saladas de folhosa  e macarronese 
Molho para salada: vinagrete","Bife de panela 
Opção vegana: moussaka feijão branco 
Sopa de frango com macarrão
Saladas de folhosa e beterraba ralada 
Molho para salada: molho tártaro"
