"data","tipo_refeicao","Quinta-Feira 12/02/2026","Sexta-Feira 13/02/2026"
"2026-02-12_10:42:22.620547","Café da manhã","Pão francês ou integral com manteiga 
Opção vegana: pão francês ou integral com pasta de amendoim 
Abacaxi","Pão de cenoura ou integral com patê de queijo 
Opção vegana: pão de cenoura ou integral com pasta de abacate 
Salada de frutas"
"2026-02-12_10:42:22.620547","Almoço","Peixe à milanesa com limão 
Opção vegana: falafel 
Cenoura refogada 
Saladas de folhosa e tomate 
Molho para saladas: molho rosê 
Melancia","Kafta de forma 
Opção vegana: quibe de PTS com berinjela 
Creme de espinafre 
Saladas de folhosa  e beterraba cozida 
Molho para salada: vinagrete 
Mamão"
"2026-02-12_10:42:22.620547","Jantar","Carne moída refogada 
Opção vegana: PTS com abóbora ao curry 
Sopa creme de ervilha 
Saladas de folhosa e beterraba cozida 
Molho para saladas: vinagrete","Frango chinês 
Opção vegana: feijão fradinho chinês 
Sopa camponesa 
Saladas de folhosa  e tomate 
Molho para salada: vinagrete"
