"data","tipo_refeicao","Terça-Feira 21/10/2025","Quarta-Feira 22/10/2025","Quinta-Feira 23/10/2025"
"2025-10-21_22:19:45.708745","Café da manhã","Pão de milho com patê de queijo 
Opção vegana: pão integral com escabeche de berinjela 
Mamão","Pão francês ou integral com patê de frango 
Opção vegana: pão francês ou integral com doce de abóbora com coco 
Laranja","Pão de cenoura ou integral com manteiga 
Opção vegana: pão de cenoura ou integral com pasta de amendoim 
Salada de frutas"
"2025-10-21_22:19:45.708745","Almoço","Filé de peixe à milanesa 
Opção vegana: croquete de feijão fradinho 
Chuchu com cenoura sautée 
Saladas de folhosa  e tomate
Molho para salada: molho verde 
Gelatina colorida","Bife ao molho de bacon 
Opção vegana: abobrinha à rolê com pasta de lentilha 
Espaguete ao alho e óleo 
Saladas de folhosa  e pepino 
Molho para salada: vinagrete 
Gelatina colorida","Frango ao molho de açafrão 
Opção vegana: hambúrguer de grão-de-bico 
Ratatouille 
Saladas de folhosa  e rabanete 
Molho para salada: molho verde 
Pudim bicolor"
"2025-10-21_22:19:45.708745","Jantar","Carne moída ao molho 
Opção vegana: goulash de ervilha seca 
Sopa cremosa de aipim 
Saladas de folhosa  e beterraba ralada 
Molho para salada: vinagrete","Frango xadrez 
Opção vegana: grão-de-bico xadrez 
Caldo verde 
Saladas de folhosa  e tomate 
Molho para salada: molho rosê","Barreado 
Opção vegana: escondidinho de soja 
Farofa de banana 
Saladas de folhosa  e vagem com cenoura 
Molho para salada: vinagrete"
