"data","tipo_refeicao","Terça-Feira 05/05/2026","Quarta-Feira 06/05/2026","Quinta-Feira 07/05/2026"
"2026-05-05_21:01:06.510809","Café da manhã","Pão francês ou integral com ovo mexido 
Opção vegana: pão francês ou integral com pasta de amendoim 
Mamão","Pão de milho ou integral com queijo 
Opção vegana: pão de milho ou integral com patê de ervas com inhame 
Melão","Pão hot-dog ou integral com patê de frango 
Opção vegana: pão hot-dog ou integral com patê de abacate 
Abacaxi"
"2026-05-05_21:01:06.510809","Almoço","Picadinho de carne 
Opção vegana: soja com brócolis e couve-flor ao sugo 
Farofa de milho 
Saladas de folhosas  e cenoura cozida 
Molho para saladas: molho verde 
Gelatina de limão","Frango com quiabo
Opção vegana: lentilha com quiabo 
Quibebe 
Saladas de folhosas  e macarronese 
Molho para saladas: vinagrete  
Tangerina Ponkan","Carne moída à mexicana 
Opção vegana: chilli vegano 
Batata sautée 
Saladas de folhosas  e pepino 
Molho para saladas: molho rosê 
Mamão"
"2026-05-05_21:01:06.510809","Jantar","Estrogonofe de frango 
Opção vegana: estrogonofe de berinjela com feijão branco 
Batata chips 
Saladas de folhosas  e tomate 
Molho para saladas: vinagrete","Bife à cigana 
Opção vegana: grão-de-bico com vagem à cigana 
Canja 
Saladas de folhosas  e berinjela com orégano
Molho para saladas: molho mostarda","Espetinho de frango à milanesa 
Opção vegana: espetinho de bolinha de ervilha-seca à milanesa 
Sopa de legumes com carne 
Saladas de folhosas  e chuchu 
Molho para saladas: vinagrete"
