"data","tipo_refeicao","Sexta-Feira 10/04/2026","Segunda-Feira 13/04/2026","Terça-Feira 14/04/2026"
"2026-04-10_16:47:18.981213","Café da manhã","Pão de cenoura ou integral com patê de frango 
Opção vegana: pão de cenoura ou integral com patê de ervas vegano 
Salada de frutas","Pão hot-dog ou integral com ovo mexido 
Opção vegana: pão hot-dog ou integral com patê de azeitona vegano 
Maçã","Pão francês ou integral com patê de queijo 
Opção vegana: pão francês ou integral com requeijão vegano
Mamão"
"2026-04-10_16:47:18.981213","Almoço","Barreado 
Opção vegana: ervilha-seca com abóbora e cominho 
Farofa de banana 
Saladas de folhosas  e berinjela 
Molho para saladas: molho tártaro 
Abacaxi","Iscas de carne ao molho escuro 
Opção vegana: lentilha com cebola crocante 
Quibebe 
Saladas de folhosas  e beterraba ralada 
Molho para saladas: molho mostarda 
Tangerina ponkan","Carne moída ao sugo 
Opção vegana: almôndega de feijão cavalo com cenoura ao sugo 
Polenta cremosa 
Saladas de folhosas e abobrinha cozida 
Molho para saladas: vinagrete 
Sagu de vinho"
"2026-04-10_16:47:18.981213","Jantar","Nhoque à bolonhesa 
Opção vegana: nhoque ao sugo com PTS 
Sopa juliana com arroz 
Saladas de folhosas  e vagem com milho 
Molho para saladas: vinagrete","Carne moída com ervas 
Opção vegana: PTS com vagem refogada 
Canja 
Saladas de folhosas  e tabule 
Molho para saladas: vinagrete","Bisteca ao molho do chefe 
2ª opção: ovo frito
Opção vegana: grão-de-bico ao molho do chefe
Sopa de legumes com arroz 
Saladas de folhosas e macarronese
Molho para saladas: vinagrete"
