"data","tipo_refeicao","Segunda-Feira 13/04/2026","Terça-Feira 14/04/2026","Quarta-Feira 15/04/2026"
"2026-04-13_13:14:13.712137","Café da manhã","Pão hot-dog ou integral com ovo mexido 
Opção vegana: pão hot-dog ou integral com patê de azeitona vegano 
Maçã","Pão francês ou integral com patê de queijo 
Opção vegana: pão francês ou integral com requeijão vegano 
Mamão","Pão de milho ou integral com presunto 
Opção vegana: pão de milho ou integral com patê de cenoura vegano 
Melão"
"2026-04-13_13:14:13.712137","Almoço","Iscas de carne ao molho escuro 
Opção vegana: lentilha com cebola crocante 
Quibebe 
Saladas de folhosas  e beterraba ralada 
Molho para saladas: molho mostarda 
Tangerina ponkan","Carne moída ao sugo 
Opção vegana: almôndega de feijão cavalo com cenoura ao sugo 
Polenta cremosa 
Saladas de folhosas  e abobrinha cozida 
Molho para saladas: vinagrete 
Sagu de vinho","Bisteca à cigana 
2ª opção: omelete de forno 
Opção vegana: grão-de-bico ao molho com ervilha 
Legumes refogados 
Saladas de folhosas e tomate 
Molho para saladas: vinagrete 
Torta de bolacha"
"2026-04-13_13:14:13.712137","Jantar","Carne moída com ervas 
Opção vegana: PTS com vagem refogada 
Canja 
Saladas de folhosas  e tabule 
Molho para saladas: vinagrete","Bisteca ao molho do chefe 
2ª opção: ovo frito 
Opção vegana: grão-de-bico ao molho do chefe 
Sopa de legumes com arroz 
Saladas de folhosas  e macarronese 
Molho para saladas: vinagrete","Bife de panela 
Opção vegana: moussaka de feijão branco 
Caldo italiano 
Saladas de folhosas e beterraba ralada 
Molho para saladas: molho tártaro"
