"data","tipo_refeicao","Quinta-Feira 13/11/2025","Sexta-Feira 14/11/2025"
"2025-11-13_08:24:51.042706","Café da manhã","Pão francês ou integral com manteiga 
Opção vegana: pão francês ou integral com pasta de amendoim 
Bolo de laranja 
Abacaxi","Pão de cenoura ou integral com patê de queijo 
Opção vegana: pão de cenoura ou integral com patê de abacate 
Salada de frutas"
"2025-11-13_08:24:51.042706","Almoço","Filé de peixe à milanesa 
Opção vegana: trouxinha de acelga com pasta de ervilha
Chuchu com cenoura sauteé 
Saladas de folhosa  e tomate 
Molho para saladas: molho rosê 
Melancia","Kafta de forno 
Opção vegana: kibe de berinjela com PTS 
Creme de espinafre 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete 
Banana"
"2025-11-13_08:24:51.042706","Jantar","Carne moída refogada 
Opção vegana: PTS refogada com abóbora 
Creme de ervilha 
Saladas de folhosa  e beterraba cozida
Molho para saladas: vinagrete","Empadão de frango 
Opção vegana: empadão de feijão fradinho com legumes 
Sopa húngara 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete"
