"data","tipo_refeicao","Terça-Feira 20/01/2026","Quarta-Feira 21/01/2026"
"2026-01-20_06:32:42.374902","Café da manhã","Pão hot-dog com presunto 
Opção: pão hot-dog ou integral com escabeche de berinjela 
Bolo de laranja 
Abacaxi","Pão francês com patê de frango 
Opção: pão francês ou integral com pasta de abacate 
Mamão"
"2026-01-20_06:32:42.374902","Almoço","Fricassê de frango 
Opção vegana: fricassê de ervilha-seca 
Arroz crocante 
Saladas de folhosa  e pepino 
Molho para salada: vinagrete 
Espuma de framboesa","Barreado 
Opção vegana: grão-de-bico com legumes 
Farofa de banana 
Saladas de folhosa  e beterraba cozida 
Molho para salada: vinagrete 
Abacaxi"
"2026-01-20_06:32:42.374902","Jantar","Goulash 
Opção vegana: goulash de grão-de-bico 
Sopa Califórnia 
Saladas de folhosa  e rabanete 
Molho para salada: mostarda","Peixe no fubá com limão 
Opção vegana: escondidinho de lentilha 
Sopa creme de abóbora ao curry 
Saladas de folhosa  e berinjela 
Molho para salada: vinagrete"
