"data","tipo_refeicao","Terça-Feira 27/01/2026","Quarta-Feira 28/01/2026"
"2026-01-27_12:38:46.953332","Café da manhã","Pão francês com queijo 
Opção: pão francês ou integral com doce de maçã 
Melancia","Pão de milho com presunto 
Opção: pão de milho ou integral com pasta de grão-de-bico com beterraba 
Creme de abacate"
"2026-01-27_12:38:46.953332","Almoço","Copa lombo ao barbecue 
2° opção: ovo cozido 
Opção vegana: grão-de-bico ao molho barbecue 
Abóbora refogada 
Saladas de folhosa  e tomate 
Molho para salada: vinagrete 
Banana surpresa","Frango assado com alecrim 
Opção vegana: nuggets de soja 
Cuscuz de legumes 
Saladas de folhosa  e abobrinha cozida 
Molho para salada: vinagrete 
Maçã"
"2026-01-27_12:38:46.953332","Jantar","Estrogonofe de frango 
Opção vegana: estrogonofe de soja 
Batata chips 
Saladas de folhosa  e beterraba cozida 
Molho para salada: vinagrete","Bife à pizzaiolo 
Opção vegana: lentilha refogada com abóbora 
Sopa da casa 
Saladas de folhosa  e natural 
Molho para salada: tártaro"
