"data","tipo_refeicao","Sexta-Feira 14/11/2025","Segunda-Feira 17/11/2025"
"2025-11-14_03:12:53.141308","Café da manhã","Pão de cenoura ou integral com patê de queijo 
Opção vegana: pão de cenoura ou integral com patê de abacate 
Salada de frutas","Pão de milho ou integral com doce de leite 
Opção vegana: pão de milho ou integral com pasta de amendoim 
Laranja"
"2025-11-14_03:12:53.141308","Almoço","Kafta de forno 
Opção vegana: kibe de berinjela com PTS 
Creme de espinafre 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete 
Banana","Bife à fricandole 
Opção vegana: hambúrguer de feijão cavalo 
Abobrinha colorida 
Saladas de folhosa  e tomate 
Molho para saladas: molho rosê 
Melão"
"2025-11-14_03:12:53.141308","Jantar","Empadão de frango 
Opção vegana: empadão de feijão fradinho com legumes 
Sopa húngara 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete","Frango ao molho de açafrão 
Opção vegana: bolinho de feijão fradinho 
Sopa de legumes com arroz 
Saladas de folhosa  e pepino 
Molho para saladas: vinagrete"
