"data","tipo_refeicao","Quinta-Feira 05/02/2026","Sexta-Feira 06/02/2026","Segunda-Feira 09/02/2026"
"2026-02-05_18:43:10.592521","Café da manhã","Pão hot-dog ou integral  com patê de frango 
Opção vegana: pão hot-dog ou integral com patê de azeitona vegano 
Salada de frutas","Pão francês ou integral com ovo mexido 
Opção vegana: pão francês ou integral com pasta de amendoim 
Abacaxi","Pão francês ou integral com queijo 
Opção vegana: pão francês ou integral com escabeche de berinjela 
Mamão"
"2026-02-05_18:43:10.592521","Almoço","Carne moída à mexicana 
Opção vegana: chilli vegano 
Batata sautée 
Saladas de folhosa  e pepino 
Molho para saladas: molho rosê 
Mamão","Filé de frango na mostarda 
Opção vegana: hambúrguer de ervilha seca na mostarda 
Legumes refogados 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete 
Creme de abacate","Bife à gaúcha 
Opção vegana: lentilha com vagem ao sugo 
Virado de couve 
Saladas de folhosa  e cenoura ralada 
Molho para saladas: molho de mostarda 
Maçã"
"2026-02-05_18:43:10.592521","Jantar","Espetinho de frango à milanesa 
Opção vegana: espetinho de bolinha de ervilha seca à milanesa 
Sopa de legumes com carne 
Saladas de folhosa  e chuchu 
Molho para saladas: vinagrete","Carne moída ao sugo 
Opção vegana: PTS ao sugo 
Sopa de creme de cebola 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: molho tártaro","Frango assado com alecrim 
Opção vegana: torre de berinjela com pasta de feijão branco 
Sopa creme de milho 
Saladas de folhosa  e cenoura ralada 
Molho para saladas: vinagrete"
