"data","tipo_refeicao","Segunda-Feira 24/11/2025","Terça-Feira 25/11/2025"
"2025-11-23_12:26:26.423575","Café da manhã","Pão hot-dog ou integral com queijo 
Opção vegana: pão hot-dog ou integral com patê de ervas 
Laranja","Pão de cenoura ou integral com presunto 
Opção vegana: pão de cenoura ou integral com pasta de amendoim 
Melancia"
"2025-11-23_12:26:26.423575","Almoço","Frango assado 
Opção vegana: PTS com espinafre 
Polenta ao sugo 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete 
Maçã","Filé de peixe à milanesa 
Opção vegana: charuto de repolho com ervilha 
Jardineira de legumes 
Salada de folhosa  e rabanete com cenoura 
Molho para saladas: molho mostarda 
Gelatina de pêssego"
"2025-11-23_12:26:26.423575","Jantar","Peixe à milanesa 
Opção vegana: cuscuz com lentilha 
Sopa de legumes com carne e arroz 
Saladas de folhosa  e tomate 
Molho para saladas: molho rosê","Bife à pizzaiolo 
Opção vegana: abobrinha à rolê com pasta de lentilha 
Sopa de carne à florentina 
Salada de folhosa  e chuchu com tempero verde 
Molho para saladas: vinagrete"
