"data","tipo_refeicao","Quarta-Feira 10/12/2025","Quinta-Feira 11/12/2025"
"2025-12-10_10:21:59.837182","Café da manhã","Pão hot-dog ou integral com queijo 
Opção vegana: pão francês ou integral com patê de alho 
Banana","Pão de milho ou integral com manteiga 
Opção vegana: pão de milho ou integral com pasta de amendoim 
Mamão"
"2025-12-10_10:21:59.837182","Almoço","Carne moída refogada 
Opção vegana: PTS refogada com cenoura 
Espaguete ao sugo 
Saladas de folhosa e abobrinha cozida 
Molho para salada: vinagrete 
Gelatina de morango com creme","Filé de peixe à milanesa 
Opção vegana: pimentão recheado com ervilha seca 
Legumes sautée 
Saladas de folhosa e arco-íris 
Molho para salada: molho de mostarda 
Maçã"
"2025-12-10_10:21:59.837182","Jantar","Filé de peixe frito 
Opção vegana: madalena de grão-de-bico 
Sopa de legumes com carne e arroz 
Saladas de folhosa e beterraba ralada 
Molho para salada: vinagrete","Picadinho ao molho ferrugem 
Opção vegana: grão-de-bico  xadrez 
Sopa creme de cebola 
Saladas de folhosa e batata doce caramelizada 
Molho para salada: vinagrete"
