"data","tipo_refeicao","Segunda-Feira 29/09/2025","Terça-Feira 30/09/2025","Quarta-Feira 01/10/2025"
"2025-09-29_22:15:52.022331","Café da manhã","Pão de hot-dog com patê de tomate seco
Opção vegana: pão integral com patê de tomate seco 
Tangerina","Pão francês com queijo 
Opção vegana: pão integral com  doce de maçã 
Melancia","Pão de milho com presunto 
Opção vegana: pão integral com patê de grão-de-bico com beterraba 
Banana"
"2025-09-29_22:15:52.022331","Almoço","Chilli 
Opção vegana: PTS ao curry 
Espaguete na manteiga 
Saladas de folhosa  e beterraba ralada 
Molho para salada: vinagrete
Melancia","Copa lombo ao molho de laranja 
Opção vegana: grão-de-bico ao molho mostarda 
Abóbora refogada 
Saladas de folhosa  e tomate 
Molho para salada: vinagrete 
Surpresa de banana","Frango assado 
Opção vegana: hambúrguer de soja 
Cuscuz 
Saladas de folhosa  e almeirão 
Molho para salada: vinagrete 
Mamão"
"2025-09-29_22:15:52.022331","Jantar","Copa lombo de panela 
2ª opção: omelete de forno 
Opção vegana: charuto de grão-de-bico 
Sopa de legumes com frango e fubá 
Saladas de folhosa  e rabanete 
Molho para salada: vinagrete","Estrogonofe de frango 
Opção vegana: estrogonofe de soja 
Batata chips 
Saladas de folhosa  e beterraba cozida 
Molho para salada: vinagrete","Bife à pizzaiolo
Opção vegana: lentilha com batata doce 
Sopa caipira 
Saladas de folhosa  e tabule 
Molho para salada: molho tártaro"
