"data","tipo_refeicao","Quarta-Feira 08/04/2026","Quinta-Feira 09/04/2026","Sexta-Feira 10/04/2026"
"2026-04-08_16:58:56.788724","Café da manhã","Pão francês ou integral com queijo 
Opção vegana: pão francês ou integral com pasta de ervilha-seca 
Mamão","Pão hot-dog ou integral com ovo mexido 
Opção vegana: pão hot-dog ou integral com pasta de abacate 
Melancia","Pão de cenoura ou integral com patê de frango
Opção vegana: pão de cenoura ou integral com patê de ervas vegano
Salada de frutas"
"2026-04-08_16:58:56.788724","Almoço","Bife à fantasia 
Opção vegana: soja com espinafre à fantasia 
Abobrinha sautée 
Saladas de folhosas  e beterraba ralada 
Molho para saladas: vinagrete 
Banana","Frango chinês 
Opção vegana: grão-de-bico chinês 
Macarrão na manteiga 
Saladas de folhosas  e tomate 
Molho para saladas: vinagrete 
Mamão","Barreado 
Opção vegana: ervilha seca com abóbora e cominho 
Farofa de banana 
Saladas de folhosas e berinjela 
Molho para saladas: molho tártaro
Abacaxi"
"2026-04-08_16:58:56.788724","Jantar","Lasanha de frango 
Opção vegana: lasanha de grão-de-bico 
Sopa de legumes com carne 
Saladas de folhosas  e pepino ao vinagrete 
Molho para saladas: vinagrete","Carne ensopada 
Opção vegana: tomate recheado com feijão cavalo 
Sopa caipira 
Saladas de folhosas  e chuchu com orégano 
Molho para saladas: molho rosê","Nhoque à bolonhesa 
Opção vegana: nhoque ao sugo com PTS 
Sopa juliana com arroz
Saladas de folhosas e vagem com milho 
Molho para saladas: vinagrete"
