"data","tipo_refeicao","Quarta-Feira 11/03/2026","Quinta-Feira 12/03/2026","Sexta-Feira 13/03/2026"
"2026-03-11_22:25:17.203115","Café da manhã","Pão francês ou integral com queijo 
Opção vegana: pão francês ou integral com patê de alho com inhame 
Banana","Pão de milho com manteiga 
Opção vegana: pão de milho ou integral com pasta de abacate 
Mamão","Pão hot-dog ou integral com presunto 
Opção vegana: pão hot-dog ou integral com escabeche de berinjela 
Cuque de banana com farofa 
Melancia"
"2026-03-11_22:25:17.203115","Almoço","Carne moída refogada 
Opção vegana: feijão cavalo refogado com legumes 
Macarrão ao sugo 
Saladas de folhosa  e abobrinha ralada 
Molho para saladas: vinagrete 
Creme de chocolate","Peixe à milanesa 
Opção vegana: ervilha-seca com batata doce 
Cenoura refogada 
Saladas de folhosa  e tomate 
Molho para saladas: molho mostarda 
Maçã","Bife à fantasia 
Opção vegana: grão-de-bico à fantasia 
Purê prático 
Saladas de folhosas  e pepino 
Molho para saladas: vinagrete 
Sagu de vinho"
"2026-03-11_22:25:17.203115","Jantar","Peixe à milanesa com limão 
Opção vegana: madalena recheada com ervilha-seca 
Sopa de legumes com carne 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete","Picadinho de carne 
Opção vegana: grão-de-bico ao sugo 
Creme de cebola 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete","Frango ao molho de açafrão 
Opção vegana: abobrinha recheada com feijão fradinho ao açafrão 
Sopa campestre 
Saladas de folhosa  e berinjela 
Molho para saladas: molho especial de cenoura"
