"data","tipo_refeicao","Quarta-Feira 25/02/2026","Quinta-Feira 26/02/2026","Sexta-Feira 27/02/2026"
"2026-02-25_20:33:27.947122","Café da manhã","Pão francês ou integral com ovo mexido 
Opção vegana: pão francês ou integral com patê de cenoura vegano 
Bolo formigueiro 
Laranja","Pão de milho ou integral com queijo 
Opção vegana: pão de milho ou integral com pasta de ervilha-seca 
Melão","Pão francês ou integral com patê de frango 
Opção vegana: pão francês ou integral com doce de maçã 
Abacaxi"
"2026-02-25_20:33:27.947122","Almoço","Estrogonofe de carne 
Opção vegana: estrogonofe de lentilha 
Batata chips 
Saladas de folhosa  e tomate 
Molho para salada: vinagrete 
Melão","Cubos de frango com bacon e cebola
Opção vegana: panqueca recheada com quinoa, PTS e legumes 
Abobrinha e cenoura com orégano 
Saladas de folhosa  e pepino 
Molho para saladas: vinagrete 
Torta de banana","Picadinho ao molho com ervilha 
Opção vegana: grão-de-bico ao molho com ervilha 
Polenta cremosa 
Saladas de folhosa  e berinjela 
Molho para saladas: molho verde 
Laranja"
"2026-02-25_20:33:27.947122","Jantar","Frango assado 
Opção vegana: quibe de quinoa com PTS e abóbora 
Sopa de feijão 
Saladas de folhosa  e salpicão de legumes 
Molho para salada: vinagrete","Bife de panela 
Opção vegana: grão-de-bico ao sugo 
Canja 
Saladas de folhosa  e tomate 
Molho para saladas: molho tártaro","Empadão de frango 
Opção vegana: empadão de feijão fradinho com legumes 
Sopa creme de abóbora ao curry 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete"
