"data","tipo_refeicao","Terça-Feira 03/03/2026","Quarta-Feira 04/03/2026","Quinta-Feira 05/03/2026"
"2026-03-03_14:45:04.652128","Café da manhã","Pão francês ou integral com queijo 
Opção vegana: pão francês ou integral com pasta de ervilha-seca 
Laranja","Pão de milho ou integral com presunto 
Opção vegana: pão de milho ou integral com patê de azeitona 
Salada de frutas","Pão francês ou integral com ovo mexido 
Opção vegana: pão francês ou integral com doce de abóbora 
Abacaxi"
"2026-03-03_14:45:04.652128","Almoço","Kafta de forno 
Opção vegana: almôndega de lentilha ao sugo 
Cenoura com acelga à moda chinesa 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete 
Flan de baunilha com calda","Frango xadrez 
Opção vegana: grão-de-bico xadrez 
Berinjela à milanesa 
Saladas de folhosa  e caipira 
Molho para saladas: molho verde 
Maçã","Bife à gaúcha 
Opção vegana: berinjela à rolê com pasta de ervilha seca ao sugo 
Creme de milho 
Saladas de folhosa e pepino 
Molho para saladas: vinagrete 
Mamão"
"2026-03-03_14:45:04.652128","Jantar","Frango ao curry 
Opção vegana: grão-de-bico com escarola ao curry 
Sopa de legumes com arroz 
Saladas de folhosa  e maionese de batata 
Molho para saladas: vinagrete","Barreado 
Opção vegana: barreado de ervilha-seca com cenoura e cominho 
Banana assada 
Saladas de folhosa  e abobrinha cozida 
Molho para saladas: vinagrete","Filé de frango à espanhola 
Opção vegana: coxinha de chuchu recheada com lentilha
Sopa londrina 
Saladas de folhosa e tomate 
Molho para saladas: molho mostarda"
