"data","tipo_refeicao","Quinta-Feira 09/04/2026","Sexta-Feira 10/04/2026","Segunda-Feira 13/04/2026"
"2026-04-09_17:04:28.463076","Café da manhã","Pão hot-dog ou integral com ovo mexido 
Opção vegana: pão hot-dog ou integral com pasta de abacate 
Melancia","Pão de cenoura ou integral com patê de frango
Opção vegana: pão de cenoura ou integral com patê de ervas vegano
Salada de frutas","Pão hot-dog ou integral com ovo mexido 
Opção vegana: pão hot-dog ou integral com patê de azeitona vegano
Maçã"
"2026-04-09_17:04:28.463076","Almoço","Frango chinês 
Opção vegana: grão-de-bico chinês 
Macarrão na manteiga 
Saladas de folhosas  e tomate 
Molho para saladas: vinagrete 
Mamão","Barreado 
Opção vegana: ervilha seca com abóbora e cominho 
Farofa de banana 
Saladas de folhosas e berinjela 
Molho para saladas: molho tártaro
Abacaxi","Iscas de carne ao molho escuro 
Opção vegana: lentilha com cebola crocante 
Quibebe 
Saladas de folhosas e beterraba ralada 
Molho para saladas: molho mostarda 
Tangerina ponkan"
"2026-04-09_17:04:28.463076","Jantar","Carne ensopada 
Opção vegana: tomate recheado com feijão cavalo 
Sopa caipira 
Saladas de folhosas  e chuchu com orégano 
Molho para saladas: molho rosê","Nhoque à bolonhesa 
Opção vegana: nhoque ao sugo com PTS 
Sopa juliana com arroz
Saladas de folhosas e vagem com milho 
Molho para saladas: vinagrete","Carne moída com ervas 
Opção vegana: PTS com vagem refogada
Canja 
Saladas de folhosas e tabule 
Molho para saladas: vinagrete"
