"data","tipo_refeicao","Quinta-Feira 08/01/2026","Sexta-Feira 09/01/2026"
"2026-01-08_12:36:48.786772","Café da manhã","Pão de milho com pasta de amendoim 
Opção: pão de milho ou integral com manteiga 
Melancia","Pão francês com presunto 
Opção: pão de milho ou integral com escabeche de berinjela 
Cuque de banana 
Melão"
"2026-01-08_12:36:48.786772","Almoço","Peixe à milanesa 
Opção vegana: nuggets de ervilha-seca 
Legumes refogados 
Saladas de folhosa  e grená (tomate, cenoura, repolho roxo) 
Molho para salada: mostarda 
Melão","Bife à fantasia 
Opção vegana: grão-de-bico à fantasia 
Purê prático 
Saladas de folhosa  e rabanete 
Molho para salada: vinagrete 
Sagu de vinho"
"2026-01-08_12:36:48.786772","Jantar","Picadinho de carne 
Opção vegana: grão-de-bico ao sugo 
Creme de cebola 
Saladas de folhosa  e batata doce caramelada 
Molho para salada: vinagrete","Frango ao molho de açafrão 
Opção vegana: abobrinha recheada com feijão fradinho ao açafrão 
Sopa campestre 
Saladas de folhosa  e chuchu com tempero verde 
Molho para salada: molho de cenoura"
