"data","tipo_refeicao","Quinta-Feira 21/05/2026","Sexta-Feira 22/05/2026"
"2026-05-22_02:44:51.08941","Café da manhã","Pão francês ou integral com manteiga 
Opção vegana: pão francês ou integral com hommus 
Melancia","Pão hot-dog ou integral com ovo mexido 
Opção vegana: pão hot-dog ou integral com patê de cenoura vegano 
Banana"
"2026-05-22_02:44:51.08941","Almoço","Copa lombo acebolada 
2ª opção: ovo frito 
Opção vegana: PTS com brócolis 
Quirera 
Saladas de folhosas  e beterraba ralada 
Molho para saladas: molho tártaro 
Torta de bolacha","Estrogonofe de frango 
Opção vegana: estrogonofe de feijão branco 
Batata chips 
Saladas de folhosas  e pepino com azeitona 
Molho para saladas: vinagrete 
Maçã"
"2026-05-22_02:44:51.08941","Jantar","Frango assado 
Opção vegana: charuto de ervilha-seca 
Sopa Karê 
Saladas de folhosas  e abobrinha ralada 
Molho para saladas: vinagrete","Bife à milanesa 
Opção vegana: pastel de ervilha-seca com milho 
Sopa juliana com arroz 
Saladas de folhosas  e beterraba ralada 
Molho para saladas: molho especial de cenoura"
