"data","tipo_refeicao","Terça-Feira 05/05/2026","Quarta-Feira 06/05/2026"
"2026-05-05_11:18:54.704445","Café da manhã","Pão francês ou integral com ovo mexido 
Opção vegana: pão francês ou integral com pasta de amendoim 
Mamão","Pão de milho ou integral com queijo 
Opção vegana: pão de milho ou integral com patê de ervas com inhame 
Melão"
"2026-05-05_11:18:54.704445","Almoço","Picadinho de carne 
Opção vegana: soja com brócolis e couve-flor ao sugo 
Farofa de milho 
Saladas de folhosas  e cenoura cozida 
Molho para saladas: molho verde 
Gelatina de limão","Frango com quiabo
Opção vegana: lentilha com quiabo 
Quibebe 
Saladas de folhosas  e macarronese 
Molho para saladas: vinagrete  
Tangerina Ponkan"
"2026-05-05_11:18:54.704445","Jantar","Estrogonofe de frango 
Opção vegana: estrogonofe de berinjela com feijão branco 
Batata chips 
Saladas de folhosas  e tomate 
Molho para saladas: vinagrete","Bife à cigana 
Opção vegana: grão-de-bico com vagem à cigana 
Canja 
Saladas de folhosas  e berinjela com orégano
Molho para saladas: molho mostarda"
