"data","tipo_refeicao","Terça-Feira 11/11/2025","Quarta-Feira 12/11/2025","Quinta-Feira 13/11/2025"
"2025-11-12_01:13:00.22238","Café da manhã","Pão francês ou integral com ovos mexidos 
Opção vegana: pão francês ou integral com homus 
Mamão","Pão hot-dog ou integral com presunto 
Opção vegana: pão hot-dog ou integral com escabeche de berinjela 
Banana","Pão francês ou integral com manteiga 
Opção vegana: pão francês ou integral com pasta de amendoim 
Bolo de laranja 
Abacaxi"
"2025-11-12_01:13:00.22238","Almoço","Frango ao molho de laranja 
Opção vegana: batata recheada com feijão 
Ratatouille 
Saladas de folhosa  e chuchu com tempero verde 
Molho para saladas: vinagrete 
Pudim de baunilha com calda de goiabada","Cubos de carne ao molho madeira 
Opção vegana: trouxinha de acelga com pasta de ervilha 
Batata doce sautée 
Saladas de folhosa e pepino 
Molho para saladas: vinagrete 
Salada de frutas","Filé de peixe à milanesa 
Opção vegana: falafel 
Chuchu com cenoura sauteé 
Saladas de folhosa  e tomate 
Molho para saladas: molho rosê 
Melancia"
"2025-11-12_01:13:00.22238","Jantar","Picadinho à jardineira 
Opção vegana: abobrinha recheada com creme de ervilha 
Sopa de legumes com macarrão 
Saladas de folhosa  e cenoura com vagem 
Molho para saladas: vinagrete","Filé de peixe à milanesa 
Opção vegana: cuscuz vegano com lentilha 
Sopa juliana com arroz 
Saladas de folhosa e abobrinha ralada 
Molho para saladas: molho verde","Carne moída refogada 
Opção vegana: PTS refogada com abóbora 
Creme de ervilha 
Saladas de folhosa  e beterraba cozida
Molho para saladas: vinagrete"
