"data","tipo_refeicao","Sexta-Feira 30/01/2026"
"2026-01-30_06:43:28.652845","Café da manhã","Pão hot-dog com queijo 
Opção: pão hot-dog ou integral com pasta de inhame 
Abacaxi"
"2026-01-30_06:43:28.652845","Almoço","Frango crocante 
Opção vegana: canelone recheado com pasta de ervilha seca 
Ratatouille 
Saladas de folhosa  e beterraba ralada 
Molho para salada: vinagrete 
Canjica"
"2026-01-30_06:43:28.652845","Jantar","Posta assada 
Opção vegana: abobrinha à rolê com pasta de feijão cavalo 
Sopa primavera 
Saladas de folhosa  e pepino 
Molho para salada: verde"
