"data","tipo_refeicao","Sexta-Feira 14/11/2025","Segunda-Feira 17/11/2025","Terça-Feira 18/11/2025"
"2025-11-14_12:33:30.520028","Café da manhã","Pão de cenoura ou integral com patê de queijo 
Opção vegana: pão de cenoura ou integral com patê de abacate 
Salada de frutas","Pão de milho ou integral com doce de leite 
Opção vegana: pão de milho ou integral com pasta de amendoim 
Laranja","Pão francês ou integral com presunto 
Opção vegana: pão francês ou integral com escabeche de berinjela 
Mamão"
"2025-11-14_12:33:30.520028","Almoço","Kafta de forno 
Opção vegana: kibe de berinjela com PTS 
Creme de espinafre 
Saladas de folhosa  e beterraba ralada 
Molho para saladas: vinagrete 
Banana","Bife à fricandole 
Opção vegana: hambúrguer de feijão cavalo 
Abobrinha colorida 
Saladas de folhosa  e tomate 
Molho para saladas: molho rosê 
Melão","Estrogonofe de frango 
Opção vegana: estrogonofe de feijão branco
Batata chips 
Saladas de folhosa e rabanete com cenoura 
Molho para salada: vinagrete 
Maçã"
"2025-11-14_12:33:30.520028","Jantar","Empadão de frango 
Opção vegana: empadão de feijão fradinho com legumes 
Sopa húngara 
Saladas de folhosa  e tomate 
Molho para saladas: vinagrete","Frango ao molho de açafrão 
Opção vegana: bolinho de feijão fradinho 
Sopa de legumes com arroz 
Saladas de folhosa  e pepino 
Molho para saladas: vinagrete","Lasanha à bolonhesa 
Opção vegana: lasanha de lentinha
Sopa Juliana com arroz 
Saladas de folhosa e beterraba ralada 
Molho para salada: molho de mostarda"
