"data","tipo_refeicao","Terça-Feira 16/06/2026","Quarta-Feira 17/06/2026"
"2026-06-16_03:28:55.94622","Café da manhã","Pão francês ou integral com patê de frango 
Opção vegana: pão francês ou integral com pasta de inhame com alho 
Banana","Pão de cenoura ou integral com patê de azeitona 
Opção vegana: pão de cenoura ou integral com patê de azeitona vegano 
Maçã"
"2026-06-16_03:28:55.94622","Almoço","Copa lombo ao molho ferrugem 
2ª opção: omelete de forno 
Opção vegana: tomate recheado com quinoa, vagem e milho 
Ratatouille 
Saladas de folhosas  e beterraba ralada 
Molho para saladas: vinagrete 
Torta de bolacha","Filé de frango ao sugo 
Opção vegana: almôndega de grão-de-bico ao sugo 
Macarrão ao alho e óleo 
Saladas de folhosas  e pepino 
Molho para saladas: vinagrete 
Salada de frutas"
"2026-06-16_03:28:55.94622","Jantar","Frango assado com alecrim  
Opção vegana: falafel 
Sopa karê 
Saladas de folhosas  e cenoura ralada 
Molho para saladas: vinagrete","Nhoque à bolonhesa 
Opção vegana: nhoque com ervilha-seca 
Sopa de legumes com arroz 
Saladas de folhosas  e abobrinha ralada ao vinagrete 
Molho para saladas: vinagrete"
