"data","tipo_refeicao","Sexta-Feira 20/03/2026","Segunda-Feira 23/03/2026"
"2026-03-20_04:12:21.731183","Café da manhã","Pão francês ou integral com ovo mexido 
Opção vegana: pão francês ou integral com patê de espinafre vegano 
Mamão","Pão de cenoura ou integral com queijo 
Opção vegana: pão de cenoura ou integral com patê de ervas vegano 
Laranja"
"2026-03-20_04:12:21.731183","Almoço","Filé de frango na mostarda 
Opção vegana: bolinho de feijão fradinho com vinagrete refogado 
Repolho à portuguesa 
Saladas de folhosas  e berinjela 
Molho para saladas: molho tártaro 
Torta de bolacha","Bisteca ao molho do chefe 
2ª opção: ovo frito 
Opção vegana: lentilha com batata salsa 
Abobrinha refogada 
Saladas de folhosas  e cenoura ralada 
Molho para saladas: molho rosê 
Maçã"
"2026-03-20_04:12:21.731183","Jantar","Bife de panela 
Opção vegana: chilli 
Caldo italiano 
Saladas de folhosa  e beterraba cozida 
Molho para saladas: vinagrete","Filé de frango à canadense 
Opção vegana: moussaka de ervilha-seca 
Sopa colorida com carne 
Saladas de folhosas  e tomate 
Molho para saladas: molho rosê"
