"data","tipo_refeicao","Terça-Feira 24/03/2026","Quarta-Feira 25/03/2026","Quinta-Feira 26/03/2026"
"2026-03-24_20:41:56.932414","Café da manhã","Pão hot-dog ou integral com manteiga
Opção vegana: pão hot-dog ou integral com escabeche de berinjela 
Melão","Pão francês ou integral com patê de frango 
Opção vegana: pão francês ou integral com pasta da abacate 
Mamão","Pão hot-dog ou integral com ovo mexido 
Opção vegana: pão hot-dog ou integral com pasta de ervilha-seca  
Salada de frutas com kiwi"
"2026-03-24_20:41:56.932414","Almoço","Fricassê de frango 
Opção vegana: fricassê de ervilha-seca 
Arroz crocante 
Saladas de folhosas  e pepino  
Molho para saladas: vinagrete 
Gelatina de cereja","Barreado 
Opção vegana: grão-de-bico com legumes e cominho 
Farofa de banana 
Saladas de folhosas  e tomate 
Molho para saladas: vinagrete 
Abacaxi","Filé de peixe à milanesa 
Opção vegana: croquete de soja 
Cenoura com acelga à moda chinesa 
Saladas de folhosas  e beterraba cozida 
Molho para saladas: molho verde 
Melão"
"2026-03-24_20:41:56.932414","Jantar","Goulash 
Opção vegana: goulash de grão-de-bico 
Sopa Califórnia 
Saladas de folhosas  e rabanete  
Molho para saladas: molho mostarda","Filé de peixe empanado 
Opção vegana: escondidinho de lentilha 
Sopa londrina 
Saladas de folhosas  e berinjela ao vinagrete 
Molho para saladas: vinagrete","Bife à fantasia 
Opção vegana: trouxinha com pasta de feijão branco e milho 
Caldo verde 
Saladas de folhosas  e pepino 
Molho para saladas: vinagrete"
