"data","tipo_refeicao","Quarta-Feira 18/03/2026","Quinta-Feira 19/03/2026"
"2026-03-18_08:45:46.625097","Café da manhã","Pão de milho ou integral com patê de azeitona 
Opção vegana: pão de milho ou integral com patê de azeitona vegano 
Maçã","Pão hot-dog ou integral com manteiga 
Opção vegana: pão hot-dog ou integral com hommus 
Melão"
"2026-03-18_08:45:46.625097","Almoço","Frango ao sugo 
Opção vegana: almôndega de grão-de-bico ao sugo 
Polenta cremosa 
Saladas de folhosas  e pepino  
Molho para saladas: vinagrete 
Salada de frutas","Estrogonofe de carne 
Opção vegana: estrogonofe de lentilha 
Batata chips 
Saladas de folhosas  e cenoura cozida 
Molho para saladas: vinagrete 
Melancia"
"2026-03-18_08:45:46.625097","Jantar","Nhoque à bolonhesa 
Opção vegana: nhoque com lentilha ao sugo 
Sopa de legumes com arroz 
Saladas de folhosas  e abobrinha ralada  
Molho para saladas: molho tártaro","Frango xadrez 
Opção vegana: feijão fradinho xadrez 
Sopa creme de milho 
Saladas de folhosas  e tomate 
Molho para saladas: vinagrete"
