"data","tipo_refeicao","Terça-Feira 25/11/2025","Quarta-Feira 26/11/2025","Quinta-Feira 27/11/2025"
"2025-11-25_18:26:48.879561","Café da manhã","Pão de cenoura ou integral com presunto 
Opção vegana: pão de cenoura ou integral com pasta de amendoim 
Melancia","Pão francês ou integral com ovos mexidos 
Opção vegana: pão francês ou integral com patê de cenoura 
Bolo formigueiro 
Mamão","Pão de milho ou integral com queijo 
Opção vegana: pão de milho ou integral com patê de ervilha 
Melão"
"2025-11-25_18:26:48.879561","Almoço","Filé de peixe à milanesa 
Opção vegana: charuto de repolho com ervilha 
Jardineira de legumes 
Salada de folhosa  e rabanete com cenoura 
Molho para saladas: molho mostarda 
Gelatina de pêssego","Bife ao molho madeira 
Opção vegana: lentilha refogada 
Batata doce sauteé 
Salada de folhosa  e tomate 
Molho para saladas: vinagrete 
Melão","Frango al limone 
Opção vegana: rolinho de abobrinha com quinoa e grão-de-bico
Macarrão ao alho e óleo 
Saladas de folhosa  e berinjela temperada 
Molho para saladas: vinagrete 
Pudim de baunilha com calda de café"
"2025-11-25_18:26:48.879561","Jantar","Bife à pizzaiolo 
Opção vegana: abobrinha à rolê com pasta de lentilha 
Sopa de carne à florentina 
Salada de folhosa  e chuchu com tempero verde 
Molho para saladas: vinagrete","Frango assado 
Opção vegana: quinoa com abóbora refogada 
Sopa de feijão 
Salada de folhosa  e salpicão 
Molho para saladas: vinagrete","Lasanha à bolonhesa 
Opção vegana: lasanha de berinjela com lentilha 
Sopa minestrone 
Saladas de folhosa  e tomate 
Molho para saladas: molho tártaro"
