"data","tipo_refeicao","Quarta-Feira 22/10/2025","Quinta-Feira 23/10/2025","Sexta-Feira 24/10/2025"
"2025-10-22_14:22:25.847612","Café da manhã","Pão francês ou integral com manteiga 
Opção vegana: pão francês ou integral com doce de abóbora com coco 
Laranja","Pão de cenoura ou integral com ovos mexidos 
Opção vegana: pão de cenoura ou integral com pasta de amendoim 
Salada de frutas","Pão de milho ou integral com patê de frango 
Opção vegana: pão de milho ou integral com patê de ervilha seca 
Melão"
"2025-10-22_14:22:25.847612","Almoço","Bife ao molho de bacon 
Opção vegana: abobrinha à rolê com pasta de lentilha 
Espaguete ao alho e óleo 
Saladas de folhosa  e pepino 
Molho para salada: vinagrete 
Gelatina colorida","Frango ao molho de açafrão 
Opção vegana: hambúrguer de grão-de-bico 
Ratatouille 
Saladas de folhosa  e rabanete 
Molho para salada: molho verde 
Pudim bicolor","Estrogonofe de carne 
Opção vegana: estrogonofe de soja 
Batata chips 
Saladas de folhosa e beterraba cozida 
Molho para salada: vinagrete 
Banana"
"2025-10-22_14:22:25.847612","Jantar","Frango xadrez 
Opção vegana: grão-de-bico xadrez 
Caldo verde 
Saladas de folhosa  e tomate 
Molho para salada: molho rosê","Barreado 
Opção vegana: escondidinho de soja 
Farofa de banana 
Saladas de folhosa  e vagem com cenoura 
Molho para salada: vinagrete","Espetinho de frango à milanesa 
Opção vegana: espetinho de bolinha de feijão branco com legumes 
Sopa juliana com arroz 
Saladas de folhosa e salada verão 
Molho para salada: molho verde"
