"data","tipo_refeicao","Quarta-Feira 01/10/2025","Quinta-Feira 02/10/2025","Sexta-Feira 03/10/2025"
"2025-10-02_02:59:05.67622","Café da manhã","Pão de milho com presunto 
Opção vegana: pão integral com patê de grão-de-bico com beterraba 
Banana","Pão hot-dog com manteiga 
Opção vegana: pão integral com pasta de amendoim 
Maçã","Pão francês com queijo 
Opção vegano: pão integral com requeijão vegano 
Melancia"
"2025-10-02_02:59:05.67622","Almoço","Frango assado 
Opção vegana: hambúrguer de soja 
Cuscuz 
Saladas de folhosa  e almeirão 
Molho para salada: vinagrete 
Mamão","Bife de panela 
Lentilha ao sugo 
Aipim com bacon 
Saladas de folhosa e grão-de-bico
Molho para salada: molho rosê 
Laranja","Frango crocante 
Opção vegana: berinjela recheada com creme de ervilha 
Ratatouille 
Saladas de folhosa  e beterraba ralada 
Molho da salada: vinagrete 
Surpresa de banana"
"2025-10-02_02:59:05.67622","Jantar","Bife à pizzaiolo
Opção vegana: lentilha com batata doce 
Sopa caipira 
Saladas de folhosa  e tabule 
Molho para salada: molho tártaro","Fricassê de frango 
Empadão de ervilha com cenoura e vagem 
Sopa húngara 
Saladas de folhosa e tomate 
Molho para salada: vinagrete","Posta assada 
Opção vegana: abobrinha à rolê com pasta de lentilha 
Sopa de legumes com arroz 
Saladas de folhosa  e pepino 
Molho da salada: molho verde"
