"data","tipo_refeicao","Segunda-Feira 29/09/2025","Terça-Feira 30/09/2025"
"2025-09-29_08:26:56.291425","Café da manhã","Pão de hot-dog com patê de tomate seco
Opção vegana: pão integral com patê de tomate seco 
Tangerina","Pão francês com queijo 
Opção vegana: pão integral com  doce de maçã 
Melancia"
"2025-09-29_08:26:56.291425","Almoço","Chilli 
Opção vegana: PTS ao curry 
Espaguete ao alho e óleo 
Saladas de folhosa  e beterraba ralada 
Molho para salada: molho verde 
Melancia","Copa lombo ao molho de laranja 
Opção vegana: grão-de-bico ao molho mostarda 
Abóbora refogada 
Saladas de folhosa  e tomate 
Molho para salada: vinagrete 
Surpresa de banana"
"2025-09-29_08:26:56.291425","Jantar","Copa lombo de panela 
2ª opção: omelete de forno 
Opção vegana: charuto de grão-de-bico 
Sopa de legumes com frango e fubá 
Saladas de folhosa  e rabanete 
Molho para salada: vinagrete","Estrogonofe de frango 
Opção vegana: estrogonofe de soja 
Batata chips 
Saladas de folhosa  e beterraba cozida 
Molho para salada: vinagrete"
