"data","tipo_refeicao","Terça-Feira 18/11/2025","Quarta-Feira 19/11/2025"
"2025-11-18_04:23:14.236991","Café da manhã","Pão francês ou integral com doce de leite 
Opção vegana: pão francês ou integral com escabeche de berinjela 
Mamão","Pão hot-dog ou integral com queijo 
Opção vegana: pão hot-dog ou integral com patê de ervilha 
Maçã"
"2025-11-18_04:23:14.236991","Almoço","Estrogonofe de frango 
Opção vegana: estrogonofe de feijão branco 
Batata chips 
Saladas de folhosa  e rabanete com cenoura 
Molho para salada: vinagrete 
Maçã","Barreado + farinha de mandioca 
Opção vegana: barreado de grão-de-bico 
Banana assada 
Saladas de folhosa  e tropical 
Molho para saladas: vinagrete 
Laranja"
"2025-11-18_04:23:14.236991","Jantar","Lasanha à bolonhesa 
Opção vegana: lasanha de lentinha 
Sopa Juliana com arroz 
Saladas de folhosa  e beterraba ralada 
Molho para salada: molho de mostarda","Bisteca ao molho barbecue 
Opção vegana: PTS ao molho escuro 
Sopa minestra 
Saladas de folhosa  e batata doce caramelizada 
Molho para saladas: vinagrete"
